Country Name,P2014,TMI,TFR, EVT , EVH , EVM , REG , ARE 
Mongolia,2909871,19.9,2.66,69.46,65.28,73.86,East Asia & Pacific,Asia & Oceania
Montenegro,621810,4.6,1.69,76.18,74.07,78.4,Europe & Central Asia,Europe
Morocco,33921203,24.6,2.52,74.02,73.02,75.06,Middle East & North Africa,Africa
Mozambique,27216276,58.5,5.36,55.03,53.58,56.54,Sub-Saharan Africa,Africa
Myanmar,53437159,40.7,2.2,65.86,63.85,67.96,East Asia & Pacific,Asia & Oceania
Namibia,2402858,33.4,3.52,64.68,62.15,67.34,Sub-Saharan Africa,Africa
Nepal,28174724,30.5,2.22,69.6,68.21,71.07,South Asia,Asia & Oceania
Netherlands,16865008,3.3,1.68,81.3,79.5,83.2,Europe & Central Asia,Europe
New Caledonia,266000,,2.24,77.57,74.5,80.8,East Asia & Pacific,Asia & Oceania
New Zealand,4509700,4.8,1.92,81.4,79.6,83.3,East Asia & Pacific,Asia & Oceania
Nicaragua,6013913,19.4,2.26,74.81,71.86,77.91,Latin America & Caribbean,America
Niger,19113728,58.4,7.6,61.46,60.58,62.38,Sub-Saharan Africa,Africa
Nigeria,177475986,71.5,5.65,52.75,52.43,53.1,Sub-Saharan Africa,Africa
Northern Mariana Islands,54541,,,,,,East Asia & Pacific,Asia & Oceania
Norway,5136886,2.2,1.78,81.75,79.8,83.8,Europe & Central Asia,Europe
Oman,4236057,10,2.77,77.09,75.07,79.2,Middle East & North Africa,Asia & Oceania
Pakistan,185044286,67.4,3.62,66.18,65.26,67.16,South Asia,Asia & Oceania
Palau,21097,14.7,,,,,East Asia & Pacific,Asia & Oceania
Panama,3867535,15.1,2.44,77.6,74.62,80.72,Latin America & Caribbean,America
Papua New Guinea,7463577,45.7,3.76,62.61,60.52,64.79,East Asia & Pacific,Asia & Oceania
Paraguay,6552518,18.1,2.54,72.92,70.83,75.12,Latin America & Caribbean,America
Peru,30973148,13.6,2.46,74.53,71.95,77.23,Latin America & Caribbean,America
Philippines,99138690,22.8,2.98,68.27,64.91,71.79,East Asia & Pacific,Asia & Oceania
Poland,38011735,4.5,1.29,77.25,73.4,81.3,Europe & Central Asia,Europe
Portugal,10401062,3,1.21,80.72,77.6,84,Europe & Central Asia,Europe
Puerto Rico,3548397,,1.47,79.37,75.54,83.4,Latin America & Caribbean,America
Qatar,2172065,7,2.03,78.6,77.35,79.91,Middle East & North Africa,Asia & Oceania
Romania,19904360,10.1,1.41,75.06,71.6,78.7,Europe & Central Asia,Europe
Russian Federation,143819569,8.5,1.7,70.37,65,76,East Asia & Pacific,Asia & Oceania
Rwanda,11341544,32.7,3.9,63.97,61.05,67.03,Sub-Saharan Africa,Africa
Samoa,191845,15.4,4.09,73.51,70.41,76.77,East Asia & Pacific,Asia & Oceania
San Marino,31595,2.7,,,,,Europe & Central Asia,Europe
Sao Tome and Principe,186342,35.5,4.58,66.38,64.43,68.44,Sub-Saharan Africa,Africa
Saudi Arabia,30886545,12.9,2.77,74.34,73.03,75.71,Middle East & North Africa,Asia & Oceania
Senegal,14672557,42.3,5.09,66.37,64.52,68.32,Sub-Saharan Africa,Africa
Serbia,7129366,6,1.43,75.53,72.9,78.3,Europe & Central Asia,Europe
Seychelles,91400,11.9,2.3,73.23,68.4,78.3,Sub-Saharan Africa,Africa
Sierra Leone,6315627,90.2,4.63,50.88,50.35,51.43,Sub-Saharan Africa,Africa
Singapore,5469724,2.2,1.25,82.65,80.5,84.9,East Asia & Pacific,Asia & Oceania
Sint Maarten (Dutch part),37685,,,,,,Latin America & Caribbean,America
Slovak Republic,5418649,6.1,1.34,76.71,73.3,80.3,Europe & Central Asia,Europe
Slovenia,2061980,2.2,1.55,80.52,77.3,83.9,Europe & Central Asia,Europe
Solomon Islands,572171,24.2,3.97,67.93,66.52,69.41,East Asia & Pacific,Asia & Oceania
Somalia,10517569,87.4,6.46,55.35,53.77,57.02,Sub-Saharan Africa,Africa
South Africa,54001953,34.4,2.36,57.18,55.17,59.3,Sub-Saharan Africa,Africa
South Sudan,11911184,62,5.02,55.68,54.73,56.68,Sub-Saharan Africa,Africa
Spain,46476032,3.6,1.27,83.08,80.2,86.1,Europe & Central Asia,Europe
Sri Lanka,20771000,8.6,2.08,74.79,71.51,78.25,South Asia,Asia & Oceania
St. Kitts and Nevis,54944,8.7,,,,,Latin America & Caribbean,America
St. Lucia,183645,13,1.89,75.05,72.4,77.83,Latin America & Caribbean,America
St. Martin (French part),31530,,1.81,79.32,76.2,82.6,Latin America & Caribbean,America
St. Vincent and the Grenadines,109360,17,1.97,72.94,70.87,75.11,Latin America & Caribbean,America
Sudan,39350274,48.8,4.35,63.46,61.98,65.01,Sub-Saharan Africa,Africa
Suriname,538248,19.5,2.36,71.15,68.03,74.43,Latin America & Caribbean,America
Swaziland,1269112,45.8,3.27,48.93,49.62,48.21,Sub-Saharan Africa,Africa
Sweden,9696110,2.4,1.89,81.96,80.2,83.8,Europe & Central Asia,Europe
Switzerland,8188102,3.5,1.52,82.85,80.8,85,Europe & Central Asia,Europe
Syrian Arab Republic,22157800,11.7,2.95,70.07,63.97,76.48,Middle East & North Africa,Asia & Oceania
Tajikistan,8295840,39.7,3.49,69.6,66.2,73.17,Europe & Central Asia,Europe
Tanzania,51822621,36.2,5.15,64.94,63.54,66.42,Sub-Saharan Africa,Africa
Thailand,67725979,10.9,1.51,74.42,71.14,77.87,East Asia & Pacific,Asia & Oceania
Timor-Leste,1212107,46.1,5.1,68.26,66.55,70.06,East Asia & Pacific,Asia & Oceania
Togo,7115163,53.6,4.58,59.66,58.95,60.4,Sub-Saharan Africa,Africa
Tonga,105586,14.7,3.72,72.79,69.92,75.81,East Asia & Pacific,Asia & Oceania
Trinidad and Tobago,1354483,18.7,1.78,70.44,67.02,74.03,Latin America & Caribbean,America
Tunisia,10996600,12.6,2.2,74.14,71.9,76.5,Middle East & North Africa,Africa
Turkey,75932348,12.3,2.07,75.16,71.98,78.5,Europe & Central Asia,Europe
Turkmenistan,5307188,45,2.3,65.6,61.5,69.9,Europe & Central Asia,Asia & Oceania
Turks and Caicos Islands,33740,,,,,,Latin America & Caribbean,America
Tuvalu,9893,23.4,,,,,East Asia & Pacific,Asia & Oceania
Uganda,37782971,39.1,5.78,58.47,56.74,60.28,Sub-Saharan Africa,Africa
Ukraine,45362900,8.1,1.5,71.19,66.25,76.37,Europe & Central Asia,Europe
United Arab Emirates,9086139,6.1,1.78,77.37,76.3,78.5,Middle East & North Africa,Asia & Oceania
United Kingdom,64559135,3.7,1.83,81.06,79.3,82.9,Europe & Central Asia,Europe
United States,318857056,5.7,1.86,78.94,76.6,81.4,North America,America
Uruguay,3419516,9.1,2.02,76.99,73.51,80.63,Latin America & Caribbean,America
Uzbekistan,30757700,35,2.2,68.34,65.04,71.8,Europe & Central Asia,Asia & Oceania
Vanuatu,258883,23.5,3.35,71.92,69.93,74.01,East Asia & Pacific,Asia & Oceania
"Venezuela, RB",30693827,13.2,2.37,74.24,70.2,78.47,Latin America & Caribbean,America
Vietnam,90728900,17.8,1.96,75.63,71.01,80.48,East Asia & Pacific,Asia & Oceania
Virgin Islands (U.S.),104170,,1.75,79.77,76.7,83,Latin America & Caribbean,America
West Bank and Gaza,4294682,18.5,4.18,72.9,70.97,74.94,Middle East & North Africa,Asia & Oceania
"Yemen, Rep.",26183676,35.1,4.16,63.82,62.49,65.22,Middle East & North Africa,Asia & Oceania
Zambia,15721343,44.7,5.35,60.05,58.23,61.96,Sub-Saharan Africa,Africa
Zimbabwe,15245855,47.6,3.92,57.5,56.17,58.89,Sub-Saharan Africa,Africa
